Name,Age,Nationality,Fifa Score,Club,Value,Salary,Continent
Cristiano Ronaldo,32,Portugal,94,Real Madrid CF,€95.5M,€565K,EU'
L. Messi,30,Argentina,93,FC Barcelona,€105M,€565K,SA'
Neymar,25,Brazil,92,Paris Saint-Germain,€123M,€280K,SA'
L. Suárez,30,Uruguay,92,FC Barcelona,€97M,€510K,SA'
M. Neuer,31,Germany,92,FC Bayern Munich,€61M,€230K,EU'
R. Lewandowski,28,Poland,91,FC Bayern Munich,€92M,€355K,EU'
De Gea,26,Spain,90,Manchester United,€64.5M,€215K,EU'
E. Hazard,26,Belgium,90,Chelsea,€90.5M,€295K,EU'
T. Kroos,27,Germany,90,Real Madrid CF,€79M,€340K,EU'
G. Higuaín,29,Argentina,90,Juventus,€77M,€275K,SA'
Sergio Ramos,31,Spain,90,Real Madrid CF,€52M,€310K,EU'
K. De Bruyne,26,Belgium,89,Manchester City,€83M,€285K,EU'
T. Courtois,25,Belgium,89,Chelsea,€59M,€190K,EU'
A. Sánchez,28,Chile,89,Arsenal,€67.5M,€265K,SA'
L. Modrić,31,Croatia,89,Real Madrid CF,€57M,€340K,EU'
G. Bale,27,Wales,89,Real Madrid CF,€69.5M,€370K,
S. Agüero,29,Argentina,89,Manchester City,€66.5M,€325K,SA'
G. Chiellini,32,Italy,89,Juventus,€38M,€225K,EU'
G. Buffon,39,Italy,89,Juventus,€4.5M,€110K,EU'
P. Dybala,23,Argentina,88,Juventus,€79M,€215K,SA'
J. Oblak,24,Slovenia,88,Atlético Madrid,€57M,€82K,EU'
A. Griezmann,26,France,88,Atlético Madrid,€75M,€150K,EU'
Thiago,26,Spain,88,FC Bayern Munich,€70.5M,€225K,EU'
P. Aubameyang,28,Gabon,88,Borussia Dortmund,€61M,€165K,AF'
L. Bonucci,30,Italy,88,Milan,€44M,€210K,EU'
J. Boateng,28,Germany,88,FC Bayern Munich,€48M,€215K,EU'
D. Godín,31,Uruguay,88,Atlético Madrid,€40M,€125K,SA'
M. Hummels,28,Germany,88,FC Bayern Munich,€48M,€215K,EU'
