Cristiano Ronaldo,32,Portugal,94,Real Madrid CF,€95.5M,€565K
M. Neuer,31,Germany,92,FC Bayern Munich,€61M,€230K
R. Lewandowski,28,Poland,91,FC Bayern Munich,€92M,€355K
De Gea,26,Spain,90,Manchester United,€64.5M,€215K
E. Hazard,26,Belgium,90,Chelsea,€90.5M,€295K
T. Kroos,27,Germany,90,Real Madrid CF,€79M,€340K
Sergio Ramos,31,Spain,90,Real Madrid CF,€52M,€310K
K. De Bruyne,26,Belgium,89,Manchester City,€83M,€285K
T. Courtois,25,Belgium,89,Chelsea,€59M,€190K
L. Modrić,31,Croatia,89,Real Madrid CF,€57M,€340K
G. Chiellini,32,Italy,89,Juventus,€38M,€225K
G. Buffon,39,Italy,89,Juventus,€4.5M,€110K
J. Oblak,24,Slovenia,88,Atlético Madrid,€57M,€82K
A. Griezmann,26,France,88,Atlético Madrid,€75M,€150K
Thiago,26,Spain,88,FC Bayern Munich,€70.5M,€225K
L. Bonucci,30,Italy,88,Milan,€44M,€210K
J. Boateng,28,Germany,88,FC Bayern Munich,€48M,€215K
M. Hummels,28,Germany,88,FC Bayern Munich,€48M,€215K
M. Özil,28,Germany,88,Arsenal,€60M,€265K
H. Lloris,30,France,88,Tottenham Hotspur,€38M,€165K
Z. Ibrahimović,35,Sweden,88,Manchester United,€27M,€240K
A. Robben,33,Netherlands,88,FC Bayern Munich,€36M,€225K
N. Kanté,26,France,87,Chelsea,€52.5M,€190K
M. Verratti,24,Italy,87,Paris Saint-Germain,€64.5M,€130K
P. Pogba,24,France,87,Manchester United,€66.5M,€195K
C. Eriksen,25,Denmark,87,Tottenham Hotspur,€65M,€165K
I. Rakitić,29,Croatia,87,FC Barcelona,€48.5M,€275K
David Silva,31,Spain,87,Manchester City,€44M,€220K
S. Handanovič,32,Slovenia,87,Inter,€29M,€91K
Piqué,30,Spain,87,FC Barcelona,€37.5M,€240K
Iniesta,33,Spain,87,FC Barcelona,€29.5M,€260K
Isco,25,Spain,86,Real Madrid CF,€56.5M,€250K
