L. Messi,30,Argentina,93,FC Barcelona,€105M,€565K
Neymar,25,Brazil,92,Paris Saint-Germain,€123M,€280K
L. Suárez,30,Uruguay,92,FC Barcelona,€97M,€510K
G. Higuaín,29,Argentina,90,Juventus,€77M,€275K
A. Sánchez,28,Chile,89,Arsenal,€67.5M,€265K
S. Agüero,29,Argentina,89,Manchester City,€66.5M,€325K
P. Dybala,23,Argentina,88,Juventus,€79M,€215K
D. Godín,31,Uruguay,88,Atlético Madrid,€40M,€125K
Thiago Silva,32,Brazil,88,Paris Saint-Germain,€34M,€175K
A. Vidal,30,Chile,87,FC Bayern Munich,€37.5M,€160K
E. Cavani,30,Uruguay,87,Paris Saint-Germain,€48.5M,€160K
Marcelo,29,Brazil,87,Real Madrid CF,€38M,€250K
J. Rodríguez,25,Colombia,86,FC Bayern Munich,€56M,€250K
Alex Sandro,26,Brazil,86,Juventus,€44M,€175K
Coutinho,25,Brazil,86,Liverpool,€56M,€205K
David Luiz,30,Brazil,86,Chelsea,€33M,€190K
Miranda,32,Brazil,86,Inter,€25.5M,€115K
Casemiro,25,Brazil,85,Real Madrid CF,€42M,€195K
A. Di María,29,Argentina,85,Paris Saint-Germain,€37.5M,€145K
Filipe Luís,31,Brazil,85,Atlético Madrid,€25M,€81K
M. Icardi,24,Argentina,84,Inter,€42M,€105K
Willian,28,Brazil,84,Chelsea,€31.5M,€200K
Falcao,31,Colombia,84,AS Monaco,€28M,€68K
Dani Alves,34,Brazil,84,Paris Saint-Germain,€9M,€115K
A. Gómez,29,Argentina,84,Atalanta,€31M,€60K
J. Giménez,22,Uruguay,83,Atlético Madrid,€28.5M,€53K
G. Rulli,25,Argentina,83,Real Sociedad,€25.5M,€28K
Ederson,23,Brazil,83,Manchester City,€26M,€87K
Fabinho,23,Brazil,83,AS Monaco,€29.5M,€37K
Marquinhos,23,Brazil,83,Paris Saint-Germain,€30.5M,€75K
Roberto Firmino,25,Brazil,83,Liverpool,€34M,€135K
N. Otamendi,29,Argentina,83,Manchester City,€20M,€140K
J. Pastore,28,Argentina,83,Paris Saint-Germain,€25.5M,€100K
Oscar,25,Brazil,83,,€0,€0.00
M. Musacchio,26,Argentina,83,Milan,€27M,€105K
N. Gaitán,29,Argentina,83,Atlético Madrid,€25.5M,€70K
E. Banega,29,Argentina,83,Sevilla FC,€25.5M,€27K
Jonas,33,Brazil,83,SL Benfica,€16.5M,€21K
E. Garay,30,Argentina,83,Valencia CF,€19M,€40K
A. Valencia,31,Ecuador,83,Manchester United,€17M,€130K
L. Biglia,31,Argentina,83,Milan,€17.5M,€105K
J. Mascherano,33,Argentina,83,FC Barcelona,€10.5M,€155K
Felipe,28,Brazil,82,FC Porto,€18M,€20K
C. Bacca,30,Colombia,82,Villarreal CF,€21.5M,€125K
M. Rojo,27,Argentina,82,Manchester United,€21M,€130K
Lucas,24,Brazil,82,Paris Saint-Germain,€28M,€92K
Willian José,25,Brazil,82,Real Sociedad,€29M,€42K
G. Medel,29,Chile,82,Beşiktaş JK,€17M,€64K
J. Cuadrado,29,Colombia,82,Juventus,€21.5M,€130K
Douglas Costa,26,Brazil,82,Juventus,€24M,€115K
Taison,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K
Marlos,29,Brazil,82,Shakhtar Donetsk,€21.5M,€1K
F. Muslera,31,Uruguay,82,Galatasaray SK,€13.5M,€57K
F. Fazio,30,Argentina,82,Roma,€16.5M,€73K
C. Bravo,34,Chile,82,Manchester City,€9M,€110K
Naldo,34,Brazil,82,FC Schalke 04,€6.5M,€48K
Raffael,32,Brazil,82,Borussia Mönchengladbach,€17.5M,€54K
Fernandinho,32,Brazil,82,Manchester City,€12.5M,€130K
Gabriel Jesus,20,Brazil,81,Manchester City,€31M,€115K
Malcom,20,Brazil,81,Girondins de Bordeaux,€24.5M,€47K
D. Sánchez,21,Colombia,81,Tottenham Hotspur,€21.5M,€70K
Felipe Anderson,24,Brazil,81,Lazio,€24M,€57K
Rafinha,24,Brazil,81,FC Barcelona,€23.5M,€140K
S. Coates,26,Uruguay,81,Sporting CP,€18M,€21K
M. Lanzini,24,Argentina,81,West Ham United,€24.5M,€95K
Paulinho,28,Brazil,81,FC Barcelona,€17.5M,€165K
Giuliano,27,Brazil,81,Fenerbahçe SK,€20.5M,€80K
D. Perotti,28,Argentina,81,Roma,€18M,€84K
Dante,33,Brazil,81,OGC Nice,€7M,€39K
G. Rodríguez,33,Argentina,81,San Lorenzo de Almagro,€7M,€27K
Jemerson,24,Brazil,80,AS Monaco,€17.5M,€35K
Alisson,24,Brazil,80,Roma,€14M,€45K
Alex Telles,24,Brazil,80,FC Porto,€16M,€15K
Fred,24,Brazil,80,Shakhtar Donetsk,€19.5M,€1K
Leo Baptistao,24,Brazil,80,RCD Espanyol,€19M,€36K
Eric Botteghin,29,Brazil,80,Feyenoord,€11.5M,€22K
Allan,26,Brazil,80,Napoli,€17.5M,€74K
P. Hernández,30,Chile,80,RC Celta de Vigo,€13.5M,€32K
L. Muriel,26,Colombia,80,Sevilla FC,€18.5M,€26K
Neto,27,Brazil,80,Valencia CF,€10M,€30K
R. Pereyra,26,Argentina,80,Watford,€18M,€69K
F. Orellana,31,Chile,80,Valencia CF,€13M,€40K
Maicon,28,Brazil,80,Galatasaray SK,€12M,€68K
E. Salvio,26,Argentina,80,SL Benfica,€16M,€17K
S. Rondón,27,Venezuela,80,West Bromwich Albion,€16M,€89K
Ganso,27,Brazil,80,Sevilla FC,€17M,€24K
Luiz Gustavo,29,Brazil,80,Olympique de Marseille,€11.5M,€37K
Sidnei,27,Brazil,80,RC Deportivo de La Coruña,€14.5M,€29K
M. Díaz,30,Chile,80,U.N.A.M.,€13.5M,€31K
A. Fernández,31,Argentina,80,Atlético Madrid,€12.5M,€62K
I. Piatti,32,Argentina,80,Montreal Impact,€11.5M,€14K
S. Romero,30,Argentina,80,Manchester United,€9.5M,€97K
E. Lamela,25,Argentina,80,Tottenham Hotspur,€18.5M,€96K
Renato Augusto,29,Brazil,80,,€0,€0.00
Jardel,31,Brazil,80,SL Benfica,€10M,€16K
G. Cabral,31,Argentina,80,RC Celta de Vigo,€10M,€29K
F. Belluschi,33,Argentina,80,San Lorenzo de Almagro,€9M,€30K
Kaká,35,Brazil,80,Orlando City Soccer Club,€6.5M,€10K
Júlio César,37,Brazil,80,SL Benfica,€1M,€8K
M. Almirón,23,Paraguay,79,Atlanta United FC,€16.5M,€11K
Soares,26,Brazil,79,FC Porto,€15.5M,€21K
M. Campaña,28,Uruguay,79,Independiente,€11M,€23K
M. Acuña,25,Argentina,79,Sporting CP,€16M,€22K
E. Rigoni,24,Argentina,79,Zenit St. Petersburg,€17.5M,€64K
I. Marcone,27,Argentina,79,Club Atlético Lanús,€12.5M,€23K
L. López,27,Argentina,79,SL Benfica,€12M,€16K
A. Correa,22,Argentina,79,Atlético Madrid,€19M,€60K
Anderson Talisca,23,Brazil,79,Beşiktaş JK,€17M,€15K
N. Tagliafico,24,Argentina,79,Independiente,€14M,€23K
L. Vietto,23,Argentina,79,Atlético Madrid,€18M,€60K
L. Paredes,23,Argentina,79,Zenit St. Petersburg,€16.5M,€64K
Bernard,24,Brazil,79,Shakhtar Donetsk,€17M,€1K
Fernando,25,Brazil,79,Spartak Moscow,€14M,€64K
F. Fernández,28,Argentina,79,Swansea City,€10M,€78K
J. Murillo,25,Colombia,79,Valencia CF,€13.5M,€64K
Gabriel Paulista,26,Brazil,79,Valencia CF,€12.5M,€37K
H. Pérez,28,Paraguay,79,RCD Espanyol,€12.5M,€39K
Jonathas,28,Brazil,79,Hannover 96,€13M,€59K
G. Bou,27,Argentina,79,Club Tijuana,€14.5M,€34K
C. Noboa,32,Ecuador,79,Zenit St. Petersburg,€9.5M,€74K
Maurício,28,Brazil,79,Lazio,€10M,€57K
Mariano,31,Brazil,79,Galatasaray SK,€8M,€65K
P. Piatti,28,Argentina,79,RCD Espanyol,€12.5M,€39K
C. Yacob,29,Argentina,79,West Bromwich Albion,€10M,€78K
Marcelo,30,Brazil,79,Olympique Lyonnais,€9.5M,€68K
D. Ospina,28,Colombia,79,Arsenal,€9M,€91K
Lucas Leiva,30,Brazil,79,Lazio,€9.5M,€54K
C. Ansaldi,30,Argentina,79,Torino,€9M,€68K
D. Valeri,31,Argentina,79,Portland Timbers,€11M,€13K
Danilo,33,Brazil,79,Udinese,€5M,€34K
N. Pareja,33,Argentina,79,Sevilla FC,€5M,€22K
D. Abraham,30,Argentina,79,Eintracht Frankfurt,€9.5M,€35K
Luisão,36,Brazil,79,SL Benfica,€1.7M,€11K
P. Zabaleta,32,Argentina,79,West Ham United,€7M,€99K
W. Caballero,35,Argentina,79,Chelsea,€3M,€59K
Vágner Love,33,Brazil,79,Alanyaspor,€8M,€24K
Gomes,36,Brazil,79,Watford,€1.7M,€33K
F. Cervi,23,Argentina,78,SL Benfica,€14.5M,€13K
Raúl,27,Brazil,78,SC Braga,€10M,€14K
M. Vecino,25,Uruguay,78,Inter,€13M,€59K
A. Sanabria,21,Paraguay,78,Real Betis Balompié,€15.5M,€23K
R. Battaglia,25,Argentina,78,Sporting CP,€12.5M,€18K
J. Izquierdo,24,Colombia,78,Brighton & Hove Albion,€13M,€50K
D. Zapata,26,Colombia,78,Sampdoria,€13M,€67K
D. Benedetto,27,Argentina,78,Boca Juniors,€12M,€29K
A. Ruiz,23,Argentina,78,Sporting CP,€14.5M,€18K
D. Laxalt,24,Uruguay,78,Genoa,€13.5M,€30K
A. Szymanowski,28,Argentina,78,CD Leganés,€10.5M,€29K
Bruno Peres,27,Brazil,78,Roma,€11M,€62K
Tiago Volpi,26,Brazil,78,Querétaro,€8.5M,€11K
G. Pizarro,27,Argentina,78,Sevilla FC,€10M,€18K
J. Martínez,24,Venezuela,78,Atlanta United FC,€13.5M,€10K
L. Castro,28,Argentina,78,Chievo Verona,€10.5M,€22K
E. Sala,26,Argentina,78,FC Nantes,€12.5M,€30K
Joãozinho,28,Brazil,78,FC Krasnodar,€10.5M,€47K
G. Ramírez,26,Uruguay,78,Sampdoria,€13M,€39K
Ismaily,27,Brazil,78,Shakhtar Donetsk,€8.5M,€1K
A. Marchesín,29,Argentina,78,Club América,€8M,€45K
Danilo,25,Brazil,78,Manchester City,€10.5M,€95K
C. Aránguiz,28,Chile,78,Bayer 04 Leverkusen,€10.5M,€54K
R. Funes Mori,26,Argentina,78,Monterrey,€13M,€63K
N. Lodeiro,28,Uruguay,78,Seattle Sounders FC,€10.5M,€11K
E. Pérez,31,Argentina,78,River Plate,€9M,€25K
T. Gutiérrez,32,Colombia,78,CPD Junior Barranquilla,€8.5M,€6K
L. López,34,Argentina,78,Racing Club de Avellaneda,€5.5M,€25K
M. Barovero,33,Argentina,78,Necaxa,€5M,€13K
C. Aránguiz,28,Chile,78,Bayer 04 Leverkusen,€10.5M,€54K
A. Marchesín,29,Argentina,78,Club América,€8M,€45K
Danilo,25,Brazil,78,Manchester City,€10.5M,€95K
F. Gago,31,Argentina,78,Boca Juniors,€7M,€25K
D. Laxalt,24,Uruguay,78,Genoa,€13.5M,€30K
Tiago Volpi,26,Brazil,78,Querétaro,€8.5M,€11K
A. Szymanowski,28,Argentina,78,CD Leganés,€10.5M,€29K
Ismaily,27,Brazil,78,Shakhtar Donetsk,€8.5M,€1K
Rafinha,31,Brazil,78,FC Bayern Munich,€7M,€79K
R. Palacio,35,Argentina,78,Bologna,€4.8M,€45K
Hilton,39,Brazil,78,Montpellier Hérault SC,€700K,€18K
J. Farfán,32,Peru,78,Lokomotiv Moscow,€8M,€45K
J. Montero,27,Ecuador,78,Getafe CF,€11M,€68K
R. Battaglia,25,Argentina,78,Sporting CP,€12.5M,€18K
M. Ruben,30,Argentina,78,Rosario Central,€10M,€23K
R. Bobadilla,30,Paraguay,78,Borussia Mönchengladbach,€10M,€41K
M. Fernández,31,Chile,78,Necaxa,€9M,€17K
A. Ramos,31,Colombia,78,Granada CF,€9.5M,€15K
Souza,28,Brazil,78,Fenerbahçe SK,€9.5M,€63K
Rafael,26,Brazil,78,Olympique Lyonnais,€9M,€57K
Adriano,32,Brazil,78,Beşiktaş JK,€5.5M,€47K
R. Funes Mori,26,Argentina,78,Monterrey,€13M,€63K
H. Briceldo,25,Chile,77,Colo-Colo,€10M,€10K
N. Blandi,27,Argentina,77,San Lorenzo de Almagro,€10.5M,€27K
P. De Blasis,29,Argentina,77,1. FSV Mainz 05,€8.5M,€33K
J. Pinola,34,Argentina,77,River Plate,€2.7M,€23K
Raphaelito Anjos,29,Brazil,77,Santos Futebol Clube,€6M,€18K
Marcelo,27,Brazil,77,Rio Ave FC,€7.5M,€11K
Dalbert,23,Brazil,77,Inter,€10.5M,€48K
N. Burdisso,36,Argentina,77,Torino,€1.2M,€30K
Sidney Pessinho,25,Brazil,77,Grêmio Foot-Ball Porto Alegrense,€8M,€24K
M. Andújar,33,Argentina,77,Estudiantes de La Plata,€4.5M,€15K
A. Carrillo,26,Peru,77,Watford,€10.5M,€15K
P. Pérez,31,Argentina,77,Boca Juniors,€7.5M,€27K
Gazzolisco,29,Brazil,77,Cruzeiro,€6.5M,€32K
M. Gamonales,29,Chile,77,Universidad de Chile,€6.5M,€15K
Ronaldo Esler,29,Brazil,77,Santos Futebol Clube,€6.5M,€22K
Vitor Hugo,26,Brazil,77,Fiorentina,€9M,€56K
D. Pabón,29,Colombia,77,Monterrey,€8.5M,€65K
Juan Jesus,26,Brazil,77,Roma,€7.5M,€56K
F. Armani,30,Argentina,77,Atletico Nacional Medellin,€5.5M,€6K
D. Torres,27,Colombia,77,Deportivo Alavés,€8.5M,€25K
Andreas Pereira,21,Brazil,77,Valencia CF,€14M,€86K
Castán,30,Brazil,77,Roma,€6.5M,€56K
T. Rincón,29,Venezuela,77,Torino,€8.5M,€97K
Gil,30,Brazil,77,,€0,€0.00
J. Quintero,24,Colombia,77,Independiente Medellín,€12M,€14K
L. Dalsaro,25,Chile,77,Colo-Colo,€8M,€8K
M. Zárate,30,Argentina,77,Watford,€8.5M,€63K
Marçal,28,Brazil,77,Olympique Lyonnais,€7M,€59K
S. Gentiletti,32,Argentina,77,Genoa,€5M,€32K
C. Sánchez,31,Colombia,77,Fiorentina,€6M,€56K
R. Martínez,34,Argentina,77,Club Atlético Lanús,€4.3M,€21K
J. Córdoba,24,Colombia,77,1. FC Köln,€12M,€36K
R. Rosales,28,Venezuela,77,Málaga CF,€7M,€26K
Y. Chará,26,Colombia,77,CPD Junior Barranquilla,€10.5M,€6K
S. Torrico,37,Argentina,77,San Lorenzo de Almagro,€600K,€12K
Wallace,22,Brazil,77,Lazio,€11.5M,€39K
D. Rolán,24,Uruguay,77,Málaga CF,€11.5M,€43K
Pedro Henrique,24,Brazil,77,Vitória Guimarães,€10M,€11K
Formosandrinho,25,Brazil,77,São Paulo Futebol Clube,€10M,€35K
Claudio Coíntra,33,Brazil,77,Grêmio Foot-Ball Porto Alegrense,€5.5M,€28K
Vitinho,23,Brazil,77,CSKA Moscow,€12.5M,€46K
Rafael Carioca,28,Brazil,77,Tigres U.A.N.L.,€9M,€68K
Wendell,23,Brazil,77,Bayer 04 Leverkusen,€9.5M,€41K
M. Lemos,21,Uruguay,77,UD Las Palmas,€10.5M,€17K
Louri Beretta,25,Brazil,77,Fluminense Football Club,€10M,€43K
F. Caicedo,28,Ecuador,77,Lazio,€9M,€56K
F. Roncaglia,30,Argentina,77,RC Celta de Vigo,€6.5M,€24K
P. Hidalgado,25,Chile,77,Colo-Colo,€10M,€10K
C. Candero,29,Chile,77,Universidad de Chile,€6M,€12K
C. Stuani,30,Uruguay,77,Girona CF,€8.5M,€30K
A. Veznera,29,Chile,77,Colo-Colo,€6.5M,€9K
T. Lagardo,29,Chile,77,Universidad de Chile,€6.5M,€15K
Charles,33,Brazil,77,SD Eibar,€5.5M,€26K
M. Kranevitter,24,Argentina,77,Zenit St. Petersburg,€11.5M,€48K
S. Driussi,21,Argentina,77,Zenit St. Petersburg,€13.5M,€54K
C. Sánchez,32,Uruguay,77,Monterrey,€6.5M,€58K
Bruno César,28,Brazil,77,Sporting CP,€9M,€20K
Rafael Tolói,26,Brazil,77,Atalanta,€9M,€28K
Everticinho,29,Brazil,77,Sociedade Esportiva Palmeiras,€6.5M,€37K
M. Cáceres,30,Uruguay,77,Hellas Verona,€6.5M,€28K
S. Arias,25,Colombia,77,PSV,€9M,€17K
O. Trejo,29,Argentina,77,Rayo Vallecano,€8.5M,€15K
C. Ruvios,33,Chile,77,Colo-Colo,€5.5M,€10K
Otávio,22,Brazil,77,FC Porto,€12M,€14K
J. Maidana,31,Argentina,77,River Plate,€6M,€23K
R. Funes Mori,26,Argentina,77,Everton,€9.5M,€88K
F. Higuaín,32,Argentina,77,Columbus Crew SC,€7M,€11K
Ari,31,Brazil,77,Lokomotiv Moscow,€8M,€49K
G. Escalante,24,Argentina,77,SD Eibar,€10.5M,€19K
G. Pereiro,22,Uruguay,76,PSV,€10.5M,€17K
G. Morenda,25,Chile,76,Colo-Colo,€5.5M,€7K
C. Davilo,25,Chile,76,Universidad Católica,€5.5M,€7K
R. Ahumera,29,Chile,76,CD O'Higgins,€5M,€8K
Alan Patrick,26,Brazil,76,Shakhtar Donetsk,€9M,€1K
F. Fabra,26,Colombia,76,Boca Juniors,€8M,€25K
M. Alustiza,33,Argentina,76,Club Atlas,€4.8M,€28K
R. Rey,26,Argentina,76,PAOK Thessaloniki,€6.5M,€1K
A. Dembal,29,Chile,76,Universidad Católica,€6M,€9K
Xandão,29,Brazil,76,Real Sporting de Gijón,€6M,€14K
B. Fornaroli,29,Uruguay,76,Melbourne City,€7.5M,€18K
Diego Carlos,24,Brazil,76,FC Nantes,€8M,€22K
C. Riveros,34,Paraguay,76,,€0,€0.00
G. Lux,35,Argentina,76,River Plate,€1.8M,€12K
M. Torres,32,Colombia,76,Atletico Nacional Medellin,€6M,€8K
A. Candales,29,Chile,76,Universidad de Chile,€6M,€15K
David Seijalbo,33,Brazil,76,Santos Futebol Clube,€3.1M,€21K
L. Ponzio,35,Argentina,76,River Plate,€1.8M,€16K
A. Domínguez,36,Argentina,76,Rayo Vallecano,€2.6M,€11K
E. Puch,30,Chile,76,Pachuca,€7.5M,€35K
L. Ocampos,22,Argentina,76,Olympique de Marseille,€11M,€31K
S. Cristóforo,23,Uruguay,76,Fiorentina,€8.5M,€48K
Antônio Chiamuloira,29,Brazil,76,Santos Futebol Clube,€6M,€22K
R. Ábila,27,Argentina,76,Club Atlético Huracán,€9M,€29K
M. Díaz,31,Argentina,76,Club Atlético Huracán,€4.7M,€13K
A. Mejía,28,Colombia,76,Club León,€6M,€33K
Ronaldo Cabrais,25,Brazil,76,Botafogo de Futebol e Regatas,€8.5M,€22K
Guilherme,26,Brazil,76,RC Deportivo de La Coruña,€7.5M,€24K
R. Sambueza,33,Argentina,76,Deportivo Toluca,€4.7M,€22K
G. Mercado,30,Argentina,76,Sevilla FC,€5.5M,€18K
Eltildo Correia,25,Brazil,76,Sociedade Esportiva Palmeiras,€7M,€34K
Gabriel,20,Brazil,76,SL Benfica,€12M,€54K
Everton Andrão,33,Brazil,76,Clube Atlético Paranaense,€3.1M,€17K
Michel Macedo,27,Brazil,76,UD Las Palmas,€7M,€22K
A. Rolis,33,Chile,76,Universidad Católica,€3.1M,€9K
Dênildo Stein,29,Brazil,76,Grêmio Foot-Ball Porto Alegrense,€7.5M,€31K
M. Caruzzo,32,Argentina,76,San Lorenzo de Almagro,€4.4M,€23K
Rosberto Dourado,29,Brazil,76,Clube Atlético Mineiro,€6M,€37K
M. Izco,34,Argentina,76,Crotone,€3.7M,€16K
Dyego Sousa,27,Brazil,76,SC Braga,€8M,€16K
J. Dátolo,33,Argentina,76,Banfield,€4.7M,€19K
E. Codesto,25,Chile,76,Colo-Colo,€8.5M,€9K
Laure Santeiro,29,Brazil,76,Cruzeiro,€7.5M,€35K
