A. Abdallah,19,France,52,ES Troyes AC,€70K,€1K
A. Abdi,30,Switzerland,71,Sheffield Wednesday,€2.2M,€36K
A. Abrashi,27,Albania,71,SC Freiburg,€2M,€16K
A. Absalem,20,Netherlands,58,FC Groningen,€170K,€1K
A. Accardi,21,Italy,56,Palermo,€110K,€1K
A. Affane,23,Sweden,64,AIK Solna,€600K,€3K
A. Agouda,18,Norway,55,Strømsgodset IF,€180K,€1K
A. Ajdarević,19,Albania,55,Örebro SK,€130K,€1K
A. Ajdarević,27,Sweden,72,AEK Athens,€3.2M,€1K
A. Ajeti,20,Switzerland,54,FC St. Gallen,€80K,€1K
A. Ajeti,20,Switzerland,67,FC St. Gallen,€1.1M,€9K
A. Ajeti,23,Albania,68,Crotone,€975K,€18K
A. Akkaynak,18,Germany,62,Bayer 04 Leverkusen,€625K,€5K
A. Aktas,17,France,52,FC Sochaux-Montbéliard,€110K,€1K
A. Albech,25,Denmark,65,Sarpsborg 08 FF,€600K,€1K
A. Aleksandrov,31,Bulgaria,68,,€0,
A. Aleksandrov,31,Bulgaria,68,,€0,€0.00
A. Alesevic,23,Switzerland,55,FC Zürich,€100K,€2K
A. Almici,24,Italy,66,Cremonese,€700K,€6K
A. Ammitzbøl,18,Denmark,55,Aarhus GF,€130K,€1K
A. Anastasio,20,Italy,60,Carpi,€300K,€6K
A. Andersson,20,Sweden,59,BK Häcken,€250K,€1K
A. Andersson,26,Sweden,61,Östersunds FK,€240K,€1K
A. Andreasson,23,Sweden,57,Jönköpings Södra IF,€140K,€1K
A. Androutsos,20,Greece,68,Olympiakos CFP,€1.6M,€1K
A. André Jr,20,France,52,Bristol Rovers,€60K,€1K
A. Angoula,36,France,66,La Berrichonne de Châteauroux,€90K,€1K
A. Aquilani,32,Italy,75,UD Las Palmas,€5M,€20K
A. Araujo,20,Portugal,67,GFC Ajaccio,€1.2M,€18K
A. Areola,24,France,79,Paris Saint-Germain,€13M,€54K
A. Argýris,23,Greece,55,Korona Kielce,€100K,€1K
A. Arrighini,27,Italy,65,Cittadella,€625K,€1K
A. Arslan,23,Germany,62,VfL Osnabrück,€450K,€1K
A. Arvidsson,19,Sweden,50,Halmstads BK,€60K,€1K
A. Asante,24,Netherlands,60,Grimsby Town,€280K,€2K
A. Aschauer,25,Austria,60,SG Sonnenhof Großaspach,€260K,€1K
A. Auassar,30,Netherlands,68,Roda JC Kerkrade,€675K,€6K
A. Avdijaj,23,Albania,55,Grasshopper Club Zürich,€130K,€3K
A. Avlonitis,27,Greece,71,Panathinaikos FC,€2M,€1K
A. Ba,18,France,55,AS Nancy Lorraine,€160K,€1K
A. Ba,19,France,55,Southend United,€140K,€1K
A. Bahtijar,18,Sweden,53,GIF Sundsvall,€100K,€1K
A. Bakasetas,24,Greece,71,AEK Athens,€3.1M,€1K
A. Bakayoko,19,France,58,FC Sochaux-Montbéliard,€270K,€5K
A. Balić,19,Croatia,69,Udinese,€1.5M,€9K
A. Baluta,23,Romania,65,,€0,
A. Baluta,23,Romania,65,,€0,€0.00
A. Balzano,31,Italy,70,Pescara,€1.2M,€4K
