A. Adanuy,33,Chile,70,CD Huachipato,€900K,€5K
A. Adencibia,25,Chile,63,CD Palestino,€325K,€1K
A. Aguerre,26,Argentina,69,Vélez Sarsfield,€950K,€7K
A. Aguilar,28,Paraguay,65,,€0,
A. Aguilar,28,Paraguay,65,,€0,€0.00
A. Aguilar,32,Colombia,75,Asociacion Deportivo Cali,€3.8M,€4K
A. Andrade,28,Colombia,73,Club León,€4M,€30K
A. Angulo,20,Colombia,60,Águilas Doradas,€350K,€1K
A. Araujo,25,Argentina,59,Talleres de Cordoba,€200K,€2K
A. Arboleda,30,Colombia,63,Jaguares Fútbol Club,€270K,€1K
A. Arregui,24,Argentina,66,Temperley,€675K,€3K
A. Balboa,23,Uruguay,65,Club Atlético Patronato,€775K,€3K
A. Barbaro,25,Argentina,63,FC SKA-Energiya Khabarovsk,€475K,€4K
A. Barboza,22,Argentina,73,River Plate,€5.5M,€16K
A. Baredia,25,Chile,75,CD Universidad de Concepción,€6M,€5K
A. Baroja,27,Venezuela,69,,€0,
A. Baroja,27,Venezuela,69,,€0,€0.00
A. Bastía,38,Argentina,67,Colon de Santa Fe,€100K,€5K
A. Batalla,21,Argentina,70,River Plate,€2.2M,€8K
A. Bernal,29,Colombia,68,CD America de Cali,€700K,€4K
A. Bizzarri,39,Argentina,75,Udinese,€450K,€11K
A. Bolivar,21,Argentina,56,Gimnasia y Esgrima La Plata,€120K,€2K
A. Bonilla,19,Colombia,55,Tigres FC,€150K,€1K
A. Bonilla,23,Colombia,57,Tigres FC,€150K,€1K
A. Bouzat,23,Argentina,66,Boca Juniors,€950K,€6K
A. Busteño,33,Chile,66,CD Huachipato,€260K,€2K
A. Cadavid,31,Colombia,72,CD Los Millionarios Bogota,€2.1M,€4K
A. Calello,30,Argentina,63,Club Atlético Huracán,€350K,€3K
A. Callens,25,Peru,72,New York City Football Club,€3.6M,€6K
A. Cambrillo,29,Chile,75,CD O'Higgins,€6.5M,€9K
A. Camura,29,Chile,68,CD Huachipato,€600K,€4K
A. Candales,29,Chile,76,Universidad de Chile,€6M,€15K
A. Candelo,25,Chile,72,Deportes Iquique,€2.7M,€3K
A. Canelo,25,Argentina,68,Deportivo Toluca,€1.2M,€11K
A. Carrillo,26,Peru,77,Watford,€10.5M,€15K
A. Castro,22,Argentina,69,San Lorenzo de Almagro,€1.7M,€11K
A. Castro,23,Colombia,70,Asociacion Deportivo Cali,€2.3M,€2K
A. Chumacero,26,Bolivia,68,,€0,
A. Chumacero,26,Bolivia,68,,€0,€0.00
A. Chávez,26,Argentina,75,Panathinaikos FC,€8.5M,€1K
A. Contrera,25,Paraguay,68,Club Atlético Patronato,€1.1M,€7K
A. Correa,22,Argentina,79,Atlético Madrid,€19M,€60K
A. Correa,23,Colombia,65,La Equidad,€700K,€1K
A. Correa,32,Colombia,69,Atlético Huila,€600K,€1K
A. Corveto,25,Chile,74,Unión Española,€4M,€5K
A. Corzo,28,Peru,65,,€0,
A. Corzo,28,Peru,65,,€0,€0.00
A. Costa,32,Argentina,74,UD Almería,€4.3M,€11K
A. Cubas,21,Argentina,74,Defensa y Justicia,€8M,€16K
A. Danteón,29,Chile,70,San Luis de Quillota,€1.4M,€4K
A. Dembal,29,Chile,76,Universidad Católica,€6M,€9K
A. Desenda,29,Chile,74,Universidad Católica,€5.5M,€9K
A. Di María,29,Argentina,85,Paris Saint-Germain,€37.5M,€145K
A. Doffo,22,Argentina,66,Vélez Sarsfield,€1M,€4K
A. Domínguez,30,Ecuador,71,Colon de Santa Fe,€1.5M,€26K
A. Domínguez,36,Argentina,76,Rayo Vallecano,€2.6M,€11K
A. Donatti,30,Argentina,73,Club Tijuana,€3M,€20K
A. Dávila,18,Uruguay,62,Real Sociedad,€625K,€3K
A. Díaz,28,Colombia,62,Atlético Bucaramanga,€240K,€1K
A. Empereur,23,Brazil,63,Foggia,€425K,€1K
A. Engaña,33,Chile,63,Club de Deportes Temuco,€190K,€1K
A. Escavar,25,Chile,72,CD O'Higgins,€2.8M,€5K
